Number;Start time in milliseconds;End time in milliseconds;"Text"
1;2326824;2329327;"<c.bg_transparent>Ragnar, look over there!</c.bg_transparent>"
2;2364695;2366280;"<c.bg_transparent>Good people, welcome.</c.bg_transparent>"
3;2367239;2369200;"<c.bg_transparent>Who are you? What do you speak?</c.bg_transparent>"
4;2370117;2372203;"<c.bg_transparent>We are Northmen.</c.bg_transparent>"
5;2373621;2374997;"<c.bg_transparent>Traders?</c.bg_transparent>"
6;2375081;2376290;"<c.bg_transparent>Yes. Traders. Yes.</c.bg_transparent>"
7;2377124;2378250;"<c.bg_transparent>What is he saying?</c.bg_transparent>"
8;2378751;2379919;"<c.bg_transparent>Who is he?</c.bg_transparent>"
9;2383130;2384507;"<c.bg_transparent>I am the Sheriff here.</c.bg_transparent>"
10;2385383;2389303;"<c.bg_transparent>If you want to trade,</c.bg_transparent>
<c.bg_transparent>then you must meet our King Aelle.</c.bg_transparent>"
11;2390513;2392598;"<c.bg_transparent>We will take you to meet him.</c.bg_transparent>"
12;2395309;2396727;"<c.bg_transparent>What is he saying?</c.bg_transparent>"
13;2400064;2402566;"<c.bg_transparent>He wants to take us to meet his king.</c.bg_transparent>"
14;2405736;2406987;"<c.bg_transparent>It's a trap.</c.bg_transparent>"
15;2407071;2409990;"<c.bg_transparent>Don't listen. They will kill us.</c.bg_transparent>"
16;2413077;2415162;"<c.bg_transparent>Wait. It might help us</c.bg_transparent>
<c.bg_transparent>to go along with them.</c.bg_transparent>"
17;2415246;2417373;"<c.bg_transparent>Wait until we find out where we are.</c.bg_transparent>"
18;2425923;2429760;"<c.bg_transparent>I'm with Rollo. I say we kill them.</c.bg_transparent>"
19;2431053;2432513;"<c.bg_transparent>Why are you arguing?</c.bg_transparent>"
20;2432888;2437435;"<c.bg_transparent>We all want peaceful trade</c.bg_transparent>
<c.bg_transparent>with our neighbors,</c.bg_transparent>"
21;2437518;2440020;"<c.bg_transparent>whoever they are.</c.bg_transparent>"
22;2440104;2441856;"<c.bg_transparent>Why won't you come with us?</c.bg_transparent>"
23;2441939;2443691;"<c.bg_transparent>They are arguing amongst themselves.</c.bg_transparent>"
24;2443774;2445526;"<c.bg_transparent>What are they saying?</c.bg_transparent>"
25;2446026;2449488;"<c.bg_transparent>-Offer them some money to go away.</c.bg_transparent>
<c.bg_transparent>-They're preparing some kind of ambush.</c.bg_transparent>"
26;2450281;2452283;"<c.bg_transparent>Let's kill them and be done with it.</c.bg_transparent>"
27;2452825;2454410;"<c.bg_transparent>What are your men arguing about?</c.bg_transparent>"
28;2455494;2457621;"<c.bg_transparent>-We will come with you.</c.bg_transparent>
<c.bg_transparent>-Don't worry.</c.bg_transparent>"
29;2467214;2470426;"<c.bg_transparent>Come then. The royal villa is not far.</c.bg_transparent>"
30;2471886;2472887;"<c.bg_transparent>It's a trap.</c.bg_transparent>"
31;2476557;2477892;"<c.bg_transparent>Let's go with them.</c.bg_transparent>"
32;2477975;2479143;"<c.bg_transparent>No.</c.bg_transparent>"
33;2481604;2483147;"<c.bg_transparent>What's the matter with him?</c.bg_transparent>"
34;2490654;2492239;"<c.bg_transparent>He doesn't trust you.</c.bg_transparent>"
35;2509590;2510925;"<c.bg_transparent>Take this.</c.bg_transparent>"
36;2528859;2530277;"<c.bg_transparent>Friends. In the name of God!</c.bg_transparent>"
